#{"t_start": 1743683711.9150567, "env_id": "None"}
r,l,t
22.1,20,18.747554
8.1,20,18.763185
15.5,20,18.780721
5.3,20,18.797098
25.1,16,18.810822
18.3,20,18.840166
18.5,20,18.856506
18.9,20,18.873061
16.5,20,18.893008
4.1,20,18.92305
27.3,20,18.942413
16.4,8,18.942413
15.3,20,18.956377
21.9,20,18.98533
-0.9,20,19.006318
15.1,20,19.022519
32.9,13,19.025205
9.1,20,19.039688
20.9,20,19.069348
23.7,20,19.090749
25.5,14,19.093164
21.5,11,19.106435
10.1,20,19.126248
3.5,20,19.139722
-9.1,20,19.156373
15.9,20,19.172914
13.1,20,19.189637
14.5,20,19.256513
24.7,13,19.278275
8.5,20,19.294065
17.5,20,19.311749
8.1,20,19.33035
-1.7,20,19.343782
17.1,20,19.372587
21.3,12,19.388228
7.9,20,19.40629
-7.7,20,19.423037
12.9,20,19.442975
17.5,20,19.458889
0.9,20,19.47298
-0.7,20,20.412137
-2.3,20,20.43487
15.1,20,20.457248
6.3,20,20.491005
3.1,20,20.512686
12.3,20,20.536641
5.9,20,20.55734
27.9,20,20.573844
16.7,20,20.594525
12.1,20,20.606612
29.7,14,20.620327
20.7,20,20.634106
24.7,14,20.649256
1.9,20,20.665565
12.5,5,20.665565
14.1,20,20.690103
7.9,20,20.706652
15.3,20,20.716419
18.9,20,20.730622
20.7,20,20.74417
-5.1,20,20.760296
16.3,20,20.776033
10.9,20,20.794547
30.5,10,20.815658
26.5,20,20.823418
19.7,13,20.841062
21.1,20,20.85503
12.1,20,20.871168
7.7,20,20.902575
14.3,20,20.929632
16.1,20,20.944744
15.9,20,20.96624
33.7,17,20.983931
25.9,18,20.997968
17.9,20,21.01375
7.1,20,21.029664
3.9,20,21.045619
-3.1,20,21.06091
5.9,20,21.07254
24.5,20,21.087749
9.7,20,21.103791
-4.3,20,21.142015
28.9,17,21.15797
0.9,20,21.173208
19.5,20,21.189346
26.9,20,21.204162
18.5,20,21.220513
21.1,20,21.234802
4.1,20,21.239802
-0.9,20,21.261609
-2.5,20,21.277382
18.7,20,21.289247
5.3,20,21.303201
-6.5,20,21.319347
18.3,20,22.486737
18.7,20,22.520275
10.7,20,22.558489
17.9,20,22.597595
10.9,20,22.625913
5.5,20,22.651386
17.7,20,22.675136
12.3,20,22.697917
4.5,20,22.712061
6.9,20,22.748146
21.7,20,22.769982
16.3,18,22.787602
13.5,20,22.807528
33.1,20,22.834969
20.1,20,22.851133
23.4,8,22.867054
21.7,20,22.898472
5.1,20,22.914167
14.9,20,22.942094
6.9,20,22.963358
24.9,20,22.994952
24.9,20,23.008692
3.5,20,23.048607
17.9,20,23.066399
24.2,8,23.074163
21.5,14,23.080179
-23.5,20,23.103996
15.1,20,23.119825
5.7,20,23.135734
19.7,20,23.154179
-2.3,20,23.167788
25.5,20,23.183799
4.9,20,23.199711
15.5,20,23.215515
20.1,20,23.231494
19.9,20,23.257787
13.1,20,23.275651
9.3,20,23.283424
32.9,18,23.330787
33.7,20,23.347162
-0.3,20,23.358037
22.3,20,23.376117
20.3,20,23.405881
32.7,14,23.418947
21.3,20,23.438482
3.3,20,23.454232
19.7,20,23.474355
13.7,20,23.502396
22.3,20,23.517569
20.1,20,23.543294
13.9,20,23.555081
16.7,20,23.577249
3.5,20,23.588846
21.9,20,24.500904
14.9,20,24.526493
25.5,20,24.550223
0.1,20,24.573507
16.1,20,24.591994
21.7,20,24.60476
12.9,20,24.631154
23.1,20,24.652737
13.9,20,24.668761
14.1,20,24.684559
22.7,9,24.701823
16.9,20,24.716081
8.9,20,24.731753
18.0,6,24.731753
7.1,20,24.747892
3.5,20,24.76358
18.9,20,24.779349
11.3,20,24.800802
19.3,20,24.81363
12.7,20,24.826771
19.7,20,24.84278
15.7,20,24.858446
12.7,20,24.874172
29.1,20,24.889888
12.3,20,24.913717
19.9,20,24.92516
22.1,20,24.949975
27.5,20,24.96869
20.7,20,24.991018
6.7,20,25.001268
14.9,20,25.019454
13.1,20,25.032184
17.7,20,25.048108
6.7,20,25.064
30.9,20,25.080133
-1.1,20,25.101142
16.5,20,25.112239
9.5,20,25.150501
23.3,20,25.163093
34.9,12,25.173917
14.9,20,25.173917
19.7,20,25.201506
-6.9,20,25.213809
12.7,20,25.228073
12.3,20,25.240261
17.3,20,25.240261
20.9,20,25.274026
13.1,20,25.274026
17.7,20,25.28811
16.3,20,25.304177
16.7,20,25.320107
20.1,20,25.338241
21.9,20,25.351912
19.3,20,26.117251
35.9,19,26.125004
13.3,20,26.149246
18.9,20,26.169065
10.5,20,26.18283
30.1,20,26.206089
23.1,20,26.217025
10.3,20,26.230201
13.7,20,26.261579
15.9,20,26.277536
13.9,20,26.299942
10.9,20,26.315745
25.9,20,26.329109
15.5,20,26.341193
12.3,20,26.356944
22.3,20,26.372651
35.7,20,26.38841
24.7,20,26.404211
8.5,20,26.419867
25.5,20,26.443303
12.5,20,26.451371
31.5,20,26.48239
37.7,18,26.498137
38.7,20,26.519886
13.7,20,26.541256
28.3,20,26.573025
23.3,20,26.60227
14.6,2,26.608364
22.3,20,26.635852
15.9,20,26.659788
27.3,20,26.684861
23.5,20,26.702204
18.1,20,26.728614
20.1,20,26.733543
21.3,20,26.752997
15.7,20,26.802178
21.7,20,26.820556
28.7,9,26.828331
19.7,20,26.84415
10.7,20,26.86303
7.1,20,26.876455
31.7,20,26.896405
9.9,20,26.912218
23.5,10,26.920246
18.1,20,26.936047
7.7,20,26.955877
4.3,20,26.974911
23.5,20,26.991795
9.5,20,27.01352
18.7,20,27.033532
18.9,20,27.050906
16.5,20,27.071757
23.5,20,27.085386
15.7,20,27.863648
24.1,20,27.87476
20.3,20,27.886572
18.5,20,27.903578
23.9,20,27.920606
23.7,20,27.95002
7.1,20,27.967413
23.7,20,27.989219
29.3,20,28.017413
28.5,20,28.032207
19.5,20,28.060961
19.7,20,28.077502
26.7,20,28.092401
21.9,20,28.12377
6.1,20,28.137611
17.7,20,28.153278
31.9,20,28.16905
23.3,20,28.191181
39.5,18,28.205963
11.7,20,28.221001
19.9,20,28.236776
35.3,15,28.248543
26.9,20,28.250548
31.3,20,28.279936
22.5,20,28.283946
28.7,20,28.304038
20.1,20,28.311459
43.3,17,28.337589
-3.5,20,28.351361
30.1,20,28.367137
26.1,20,28.380905
12.3,20,28.39057
19.7,20,28.409243
32.9,20,28.422468
19.7,20,28.461542
23.1,20,28.475317
8.9,20,28.494961
15.7,20,28.511748
23.9,20,28.532367
22.9,20,28.553835
10.1,20,28.563953
6.9,20,28.579973
23.8,6,28.579973
8.5,20,28.61132
14.9,20,28.629056
18.2,4,28.641083
39.3,19,28.642828
19.9,20,28.65875
21.1,20,28.674413
9.1,20,28.690284
13.9,20,28.706111
23.3,20,28.721771
21.9,20,28.73965
26.9,20,28.753201
9.5,20,29.653622
8.1,20,29.683009
13.3,20,29.69679
29.1,20,29.719257
30.1,20,29.742003
11.5,20,29.760894
8.1,20,29.779007
21.3,20,29.792903
23.7,20,29.814525
11.7,20,29.833133
19.5,20,29.848822
